Key Values,LineNumber,SourceName,M_NB,M_QTY_INDEX,M_TP_BUY,CURRENCY,INSTRUMENT,TRN_STATUS,TRN_FMLY,TRN_GRP,TRN_TYPE,PORTFOLIO,M_PL_CGR2,M_PL_CGRA2,M_PL_CGU2,M_PL_CGUA2,M_PL_CSFCP2,M_PL_CSFI2,M_PL_CSFR2,M_PL_CSFRV2,M_PL_CSNF2,M_PL_CSNFCP2,M_PL_CSNFR2,M_PL_CSNFRV2,M_PL_FE2,M_PL_FEFI2,M_PL_FMV2,M_PL_FMVCL2,M_PL_FPFCP2,M_PL_FPFRV2,M_PL_FPNFCP2,M_PL_FPNFRV2,M_PL_FTFI2,M_PL_INSCUR,M_PL_KEY1,M_PL_MVFCP2,M_PL_MVFRV2,M_PL_MVNFCP2,M_PL_MVNFRV2,M_PL_NFMV2,M_PL_NFMVCL2,M_PL_RVR2,M_PL_RVRA2,M_PL_RVU2,M_PL_RVUA2,M_PLIRDACC12,M_PLIRDACC22,M_PLIRDACS12,M_PLIRDACS22,M_PLIRDCUR1,M_PLIRDCUR2,M_PLIRDFPV12,M_PLIRDFPV22,M_RSKSECTION,M_TP_TYPE
67228916,52,MX 3.1,67228916,0,B,CN1,CN1 7DREPO 3M N,MKT_OP,IRD,IRS,   ,DCNSH IRD KT,0,0,605101.4165,605101.4165,0,0,0,0,0,0,0,0,-3464.08,-8.74542,604778.2824,0,0,0,0,0,-323.134068,CN1,30spaces,604778.2824,0,605101.4165,0,605101.4165,0,0,0,0,0,-75698.63,100229.72,-75698.63,100229.72,CN1,CN1,-4224865.17,4829643.45,20spaces,11spaces
66876386,7,MX 2.1,66876386,0,B,CN1,CN1 7DREPO 3M N,LIVE,IRD,IRS,   ,DCNSH IRD NH,0,0,165236.9281,165236.9281,0,0,0,0,0,0,0,0,-2504.49,-8.463796,165148.6888,165148.6888,0,0,0,0,-88.239226,CN1,30spaces,165148.6888,0,165236.9281,0,165236.9281,165236.9281,0,0,0,0,-76520.55,85916.97,-76520.55,85916.97,CN1,CN1,-3054002.41,3219151.1,20spaces,11spaces
66876386,7,MX 3.1,66876386,0,B,CN1,CN1 7DREPO 3M N,MKT_OP,IRD,IRS,   ,DCNSH IRD NH,0,0,165236.9281,165236.9281,0,0,0,0,0,0,0,0,-2294.49,-7.767538,165148.6888,0,0,0,0,0,-88.239226,CN1,30spaces,165148.6888,0,165236.9281,0,165236.9281,0,0,0,0,0,-76520.55,85916.97,-76520.55,85916.97,CN1,CN1,-3054002.41,3219151.1,20spaces,11spaces
67228914,51,MX 2.1,67228914,0,B,CN1,CN1 7DREPO 3M N,LIVE,IRD,IRS,   ,DCNSH IRD KT,0,0,-591332.2877,-591332.2877,0,0,0,0,0,0,0,0,-310,-0.759785,-591016.5066,-591016.5066,0,0,0,0,315.781127,CN1,30spaces,-591016.5066,0,-591332.2877,0,-591332.2877,-591332.2877,0,0,0,0,75945.21,-100229.72,75945.21,-100229.72,CN1,CN1,4238626.95,-4829643.45,20spaces,11spaces
67228914,51,MX 3.1,67228914,0,B,CN1,CN1 7DREPO 3M N,MKT_OP,IRD,IRS,   ,DCNSH IRD KT,0,0,-591332.2877,-591332.2877,0,0,0,0,0,0,0,0,0,0,-591016.5066,0,0,0,0,0,315.781127,CN1,30spaces,-591016.5066,0,-591332.2877,0,-591332.2877,0,0,0,0,0,75945.21,-100229.72,75945.21,-100229.72,CN1,CN1,4238626.95,-4829643.45,20spaces,11spaces
67026166,69,MX 2.1,67026166,0,B,CN1,CN1 7DREPO 3M N,LIVE,IRD,IRS,   ,DCNSH IRD BL,0,0,-223982.1351,-223982.1351,0,0,0,0,0,0,0,0,-3749.55,-12.099369,-223862.525,-223862.525,0,0,0,0,119.610129,CN1,30spaces,-223862.525,0,-223982.1351,0,-223982.1351,-223982.1351,0,0,0,0,104630.14,-127841.18,104630.14,-127841.18,CN1,CN1,4616000.73,-4839863.25,20spaces,11spaces
67026166,69,MX 3.1,67026166,0,B,CN1,CN1 7DREPO 3M N,MKT_OP,IRD,IRS,   ,DCNSH IRD BL,0,0,-223982.1351,-223982.1351,0,0,0,0,0,0,0,0,-3439.55,-11.160507,-223862.525,0,0,0,0,0,119.610129,CN1,30spaces,-223862.525,0,-223982.1351,0,-223982.1351,0,0,0,0,0,104630.14,-127841.18,104630.14,-127841.18,CN1,CN1,4616000.73,-4839863.25,20spaces,11spaces
66876383,6,MX 2.1,66876383,0,B,CN1,CN1 7DREPO 3M N,LIVE,IRD,IRS,   ,DCNSH IRD BL,0,0,187271.3586,187271.3586,0,0,0,0,0,0,0,0,-2310,-7.798411,187171.3526,187171.3526,0,0,0,0,-100.005973,CN1,30spaces,187171.3526,0,187271.3586,0,187271.3586,187271.3586,0,0,0,0,-178356.16,214792.42,-178356.16,214792.42,CN1,CN1,-1522055.08,1709226.43,20spaces,11spaces
66876383,6,MX 3.1,66876383,0,B,CN1,CN1 7DREPO 3M N,MKT_OP,IRD,IRS,   ,DCNSH IRD BL,0,0,187271.3586,187271.3586,0,0,0,0,0,0,0,0,-2000,-6.770601,187171.3526,0,0,0,0,0,-100.005973,CN1,30spaces,187171.3526,0,187271.3586,0,187271.3586,0,0,0,0,0,-178356.16,214792.42,-178356.16,214792.42,CN1,CN1,-1522055.08,1709226.43,20spaces,11spaces
66876382,5,MX 2.1,66876382,0,B,CN1,CN1 7DREPO 3M N,LIVE,IRD,IRS,   ,DCNSH IRD BL,0,0,925323.1064,925323.1064,0,0,0,0,0,0,0,0,-1612,-5.344609,924828.9687,924828.9687,0,0,0,0,-494.137695,CN1,30spaces,924828.9687,0,925323.1064,0,925323.1064,925323.1064,0,0,0,0,-949349.59,1146991.5,-949349.59,1146991.5,CN1,CN1,-6084526.24,7009355.21,20spaces,11spaces
