Key Values_;_LineNumber_;_SourceName_;_M_NB_;_M_QTY_INDEX_;_M_TP_BUY_;_CURRENCY_;_INSTRUMENT_;_TRN_STATUS_;_TRN_FMLY_;_TRN_GRP_;_TRN_TYPE_;_PORTFOLIO_;_M_PL_CGR2_;_M_PL_CGRA2_;_M_PL_CGU2_;_M_PL_CGUA2_;_M_PL_CSFCP2_;_M_PL_CSFI2_;_M_PL_CSFR2_;_M_PL_CSFRV2_;_M_PL_CSNF2_;_M_PL_CSNFCP2_;_M_PL_CSNFR2_;_M_PL_CSNFRV2_;_M_PL_FE2_;_M_PL_FEFI2_;_M_PL_FMV2_;_M_PL_FMVCL2_;_M_PL_FPFCP2_;_M_PL_FPFRV2_;_M_PL_FPNFCP2_;_M_PL_FPNFRV2_;_M_PL_FTFI2_;_M_PL_INSCUR_;_M_PL_KEY1_;_M_PL_MVFCP2_;_M_PL_MVFRV2_;_M_PL_MVNFCP2_;_M_PL_MVNFRV2_;_M_PL_NFMV2_;_M_PL_NFMVCL2_;_M_PL_RVR2_;_M_PL_RVRA2_;_M_PL_RVU2_;_M_PL_RVUA2_;_M_PLIRDACC12_;_M_PLIRDACC22_;_M_PLIRDACS12_;_M_PLIRDACS22_;_M_PLIRDCUR1_;_M_PLIRDCUR2_;_M_PLIRDFPV12_;_M_PLIRDFPV22_;_M_RSKSECTION_;_M_TP_TYPE
67228914_;_37_;_MX 2.1_;_67228914_;_0_;_B_;_CN1_;_CN1 7DREPO 3M N_;_LIVE_;_IRD_;_IRS_;_5spaces_;_DCNSH IRD KT_;_0_;_0_;_-591332.2877_;_-591332.2877_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_-310_;_-0.759785_;_-591016.5066_;_-591016.5066_;_0_;_0_;_0_;_0_;_315.781127_;_CN1_;_30spaces_;_-591016.5066_;_0_;_-591332.2877_;_0_;_-591332.2877_;_-591332.2877_;_0_;_0_;_0_;_0_;_75945.21_;_-100229.72_;_75945.21_;_-100229.72_;_CN1_;_CN1_;_4238626.95_;_-4829643.45_;_20spaces_;_11spaces_;_ 
67228914_;_37_;_MX 3.1_;_67228914_;_0_;_B_;_CN1_;_CN1 7DREPO 3M N_;_MKT_OP_;_IRD_;_IRS_;_5spaces_;_DCNSH IRD KT_;_0_;_0_;_-591332.2877_;_-591332.2877_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_-591016.5066_;_0_;_0_;_0_;_0_;_0_;_315.781127_;_CN1_;_30spaces_;_-591016.5066_;_0_;_-591332.2877_;_0_;_-591332.2877_;_0_;_0_;_0_;_0_;_0_;_75945.21_;_-100229.72_;_75945.21_;_-100229.72_;_CN1_;_CN1_;_4238626.95_;_-4829643.45_;_20spaces_;_11spaces_;_ 
67026166_;_49_;_MX 2.1_;_67026166_;_0_;_B_;_CN1_;_CN1 7DREPO 3M N_;_LIVE_;_IRD_;_IRS_;_5spaces_;_DCNSH IRD BL_;_0_;_0_;_-223982.1351_;_-223982.1351_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_-3749.55_;_-12.099369_;_-223862.525_;_-223862.525_;_0_;_0_;_0_;_0_;_119.610129_;_CN1_;_30spaces_;_-223862.525_;_0_;_-223982.1351_;_0_;_-223982.1351_;_-223982.1351_;_0_;_0_;_0_;_0_;_104630.14_;_-127841.18_;_104630.14_;_-127841.18_;_CN1_;_CN1_;_4616000.73_;_-4839863.25_;_20spaces_;_11spaces_;_ 
67026166_;_49_;_MX 3.1_;_67026166_;_0_;_B_;_CN1_;_CN1 7DREPO 3M N_;_MKT_OP_;_IRD_;_IRS_;_5spaces_;_DCNSH IRD BL_;_0_;_0_;_-223982.1351_;_-223982.1351_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_-3439.55_;_-11.160507_;_-223862.525_;_0_;_0_;_0_;_0_;_0_;_119.610129_;_CN1_;_30spaces_;_-223862.525_;_0_;_-223982.1351_;_0_;_-223982.1351_;_0_;_0_;_0_;_0_;_0_;_104630.14_;_-127841.18_;_104630.14_;_-127841.18_;_CN1_;_CN1_;_4616000.73_;_-4839863.25_;_20spaces_;_11spaces_;_ 
66876383_;_5_;_MX 2.1_;_66876383_;_0_;_B_;_CN1_;_CN1 7DREPO 3M N_;_LIVE_;_IRD_;_IRS_;_5spaces_;_DCNSH IRD BL_;_0_;_0_;_187271.3586_;_187271.3586_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_-2310_;_-7.798411_;_187171.3526_;_187171.3526_;_0_;_0_;_0_;_0_;_-100.005973_;_CN1_;_30spaces_;_187171.3526_;_0_;_187271.3586_;_0_;_187271.3586_;_187271.3586_;_0_;_0_;_0_;_0_;_-178356.16_;_214792.42_;_-178356.16_;_214792.42_;_CN1_;_CN1_;_-1522055.08_;_1709226.43_;_20spaces_;_11spaces_;_ 
66876383_;_5_;_MX 3.1_;_66876383_;_0_;_B_;_CN1_;_CN1 7DREPO 3M N_;_MKT_OP_;_IRD_;_IRS_;_5spaces_;_DCNSH IRD BL_;_0_;_0_;_187271.3586_;_187271.3586_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_-2000_;_-6.770601_;_187171.3526_;_0_;_0_;_0_;_0_;_0_;_-100.005973_;_CN1_;_30spaces_;_187171.3526_;_0_;_187271.3586_;_0_;_187271.3586_;_0_;_0_;_0_;_0_;_0_;_-178356.16_;_214792.42_;_-178356.16_;_214792.42_;_CN1_;_CN1_;_-1522055.08_;_1709226.43_;_20spaces_;_11spaces_;_ 
67228919_;_40_;_MX 2.1_;_67228919_;_0_;_B_;_CN1_;_CN1 7DREPO 3M N_;_LIVE_;_IRD_;_IRS_;_5spaces_;_DCNSH IRD BL_;_0_;_0_;_1193377.317_;_1193377.317_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_-1210_;_-2.965614_;_1192740.034_;_1192740.034_;_0_;_0_;_0_;_0_;_-637.283034_;_CN1_;_30spaces_;_1192740.034_;_0_;_1193377.317_;_0_;_1193377.317_;_1193377.317_;_0_;_0_;_0_;_0_;_-473835.62_;_668198.12_;_-473835.62_;_668198.12_;_CN1_;_CN1_;_-5654954.23_;_6847694.27_;_20spaces_;_11spaces_;_ 
67228919_;_40_;_MX 3.1_;_67228919_;_0_;_B_;_CN1_;_CN1 7DREPO 3M N_;_MKT_OP_;_IRD_;_IRS_;_5spaces_;_DCNSH IRD BL_;_0_;_0_;_1193377.317_;_1193377.317_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_1192740.034_;_0_;_0_;_0_;_0_;_0_;_-637.283034_;_CN1_;_30spaces_;_1192740.034_;_0_;_1193377.317_;_0_;_1193377.317_;_0_;_0_;_0_;_0_;_0_;_-473835.62_;_668198.12_;_-473835.62_;_668198.12_;_CN1_;_CN1_;_-5654954.23_;_6847694.27_;_20spaces_;_11spaces_;_ 
67228918_;_39_;_MX 2.1_;_67228918_;_0_;_B_;_CN1_;_CN1 7DREPO 3M N_;_LIVE_;_IRD_;_IRS_;_5spaces_;_DCNSH IRD BL_;_0_;_0_;_-1068662.353_;_-1068662.353_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_-710_;_-1.740154_;_-1068091.67_;_-1068091.67_;_0_;_0_;_0_;_0_;_570.683201_;_CN1_;_30spaces_;_-1068091.67_;_0_;_-1068662.353_;_0_;_-1068662.353_;_-1068662.353_;_0_;_0_;_0_;_0_;_237534.25_;_-334099.06_;_237534.25_;_-334099.06_;_CN1_;_CN1_;_5584299.32_;_-6652390.99_;_20spaces_;_11spaces_;_ 
67228918_;_39_;_MX 3.1_;_67228918_;_0_;_B_;_CN1_;_CN1 7DREPO 3M N_;_MKT_OP_;_IRD_;_IRS_;_5spaces_;_DCNSH IRD BL_;_0_;_0_;_-1068662.353_;_-1068662.353_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_-1068091.67_;_0_;_0_;_0_;_0_;_0_;_570.683201_;_CN1_;_30spaces_;_-1068091.67_;_0_;_-1068662.353_;_0_;_-1068662.353_;_0_;_0_;_0_;_0_;_0_;_237534.25_;_-334099.06_;_237534.25_;_-334099.06_;_CN1_;_CN1_;_5584299.32_;_-6652390.99_;_20spaces_;_11spaces_;_ 
