Key Values_;_LineNumber_;_SourceName_;_M_NB_;_M_QTY_INDEX_;_M_TP_BUY_;_CURRENCY_;_INSTRUMENT_;_TRN_STATUS_;_TRN_FMLY_;_TRN_GRP_;_TRN_TYPE_;_PORTFOLIO_;_M_PL_CGR2_;_M_PL_CGRA2_;_M_PL_CGU2_;_M_PL_CGUA2_;_M_PL_CSFCP2_;_M_PL_CSFI2_;_M_PL_CSFR2_;_M_PL_CSFRV2_;_M_PL_CSNF2_;_M_PL_CSNFCP2_;_M_PL_CSNFR2_;_M_PL_CSNFRV2_;_M_PL_FE2_;_M_PL_FEFI2_;_M_PL_FMV2_;_M_PL_FMVCL2_;_M_PL_FPFCP2_;_M_PL_FPFRV2_;_M_PL_FPNFCP2_;_M_PL_FPNFRV2_;_M_PL_FTFI2_;_M_PL_INSCUR_;_M_PL_KEY1_;_M_PL_MVFCP2_;_M_PL_MVFRV2_;_M_PL_MVNFCP2_;_M_PL_MVNFRV2_;_M_PL_NFMV2_;_M_PL_NFMVCL2_;_M_PL_RVR2_;_M_PL_RVRA2_;_M_PL_RVU2_;_M_PL_RVUA2_;_M_PLIRDACC12_;_M_PLIRDACC22_;_M_PLIRDACS12_;_M_PLIRDACS22_;_M_PLIRDCUR1_;_M_PLIRDCUR2_;_M_PLIRDFPV12_;_M_PLIRDFPV22_;_M_RSKSECTION_;_M_TP_TYPE
66293247_;_354_;_MX 3.1_;_66293247_;_0_;_B_;_USD_;_SGX EURO USD_;_LIVE_;_IRD_;_SFUT_;_5spaces_;_BBBBHK FITRA_;_0_;_0_;_-2518.75_;_-2518.75_;_-2906.287789_;_-0.037789_;_0_;_0_;_-2906.25_;_-2906.25_;_0_;_0_;_-62_;_-0.015244_;_0_;_0_;_387.5_;_0_;_387.5_;_0_;_0_;_USD_;_SGX     15938_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_USD_;_3spaces_;_387.5_;_0_;_SGX EURO USD_;_11spaces_;_ 
67730972_;_365_;_MX 2.1_;_67730972_;_0_;_S_;_USD_;_CBT TNOTE 10YR_;_LIVE_;_IRD_;_LFUT_;_5spaces_;_BBBBHK FITRA_;_0_;_0_;_6054.6875_;_6054.6875_;_8008.266498_;_0.453998_;_0_;_0_;_8007.8125_;_8007.8125_;_0_;_0_;_-35.75_;_-0.00138_;_0_;_0_;_-1953.125_;_0_;_-1953.125_;_0_;_0_;_USD_;_CBT     19029_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_3spaces_;_3spaces_;_0_;_0_;_CBT TNOTE 10YR_;_11spaces_;_ 
67730972_;_365_;_MX 3.1_;_67730972_;_0_;_S_;_USD_;_CBT TNOTE 10YR_;_LIVE_;_IRD_;_LFUT_;_5spaces_;_BBBBHK FITRA_;_0_;_0_;_6054.6875_;_6054.6875_;_8008.266498_;_0.453998_;_0_;_0_;_8007.8125_;_8007.8125_;_0_;_0_;_-35.75_;_-0.00138_;_0_;_0_;_-1953.125_;_0_;_-1953.125_;_0_;_0_;_USD_;_CBT     19029_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_USD_;_3spaces_;_-1953.13_;_0_;_CBT TNOTE 10YR_;_11spaces_;_ 
59067211_;_379_;_MX 2.1_;_59067211_;_0_;_S_;_IN1_;_IN1 OIS 6M COM_;_LIVE_;_IRD_;_IRS_;_5spaces_;_MB IRDTRD PBL_;_0_;_0_;_4469507.333_;_4469507.333_;_0_;_-23164.95988_;_0_;_-725966.2563_;_-702801.2965_;_0_;_0_;_-702801.2965_;_0_;_0_;_4467316.452_;_4467316.452_;_0_;_0_;_0_;_0_;_-2190.881169_;_IN1_;_30spaces_;_4467316.452_;_0_;_4469507.333_;_0_;_4469507.333_;_4469507.333_;_0_;_0_;_-702801.2965_;_-702801.2965_;_17332191.78_;_-17026316.62_;_17332191.78_;_-17026316.62_;_IN1_;_IN1_;_60559239.85_;_-56091923.4_;_20spaces_;_11spaces_;_ 
59067211_;_379_;_MX 3.1_;_59067211_;_0_;_S_;_IN1_;_IN1 OIS 6M COM_;_LIVE_;_IRD_;_IRS_;_5spaces_;_MB IRDTRD PBL_;_0_;_0_;_4469507.333_;_4469507.333_;_0_;_-23164.95988_;_0_;_-725966.2563_;_-702801.2965_;_0_;_0_;_-702801.2965_;_0_;_0_;_4467316.452_;_0_;_0_;_0_;_0_;_0_;_-2190.881169_;_IN1_;_30spaces_;_4467316.452_;_0_;_4469507.333_;_0_;_4469507.333_;_0_;_0_;_0_;_-702801.2965_;_-702801.2965_;_17332191.78_;_-17026316.62_;_17332191.78_;_-17026316.62_;_IN1_;_IN1_;_60559239.85_;_-56091923.4_;_20spaces_;_11spaces_;_ 
67597550_;_399_;_MX 2.1_;_67597550_;_0_;_S_;_IN1_;_IN1 MIFOR 6M_;_LIVE_;_IRD_;_IRS_;_5spaces_;_MB TRD FXOIS AV_;_0_;_0_;_-724721.2667_;_-724721.2667_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_-724381.5681_;_-724381.5681_;_0_;_0_;_0_;_0_;_339.69856_;_IN1_;_30spaces_;_-724381.5681_;_0_;_-724721.2667_;_0_;_-724721.2667_;_-724721.2667_;_0_;_0_;_0_;_0_;_1123698.63_;_-1333835.62_;_1123698.63_;_-1333835.62_;_IN1_;_IN1_;_58235681.96_;_-58960063.53_;_20spaces_;_11spaces_;_ 
67597550_;_399_;_MX 3.1_;_67597550_;_0_;_S_;_IN1_;_IN1 MIFOR 6M_;_MKT_OP_;_IRD_;_IRS_;_5spaces_;_MB TRD FXOIS AV_;_0_;_0_;_-716878.7268_;_-716878.7268_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_-716542.7043_;_0_;_0_;_0_;_0_;_0_;_336.022527_;_IN1_;_30spaces_;_-716542.7043_;_0_;_-716878.7268_;_0_;_-716878.7268_;_0_;_0_;_0_;_0_;_0_;_1123698.63_;_-1333835.62_;_1123698.63_;_-1333835.62_;_IN1_;_IN1_;_58236004.83_;_-58952547.53_;_20spaces_;_11spaces_;_ 
67654953_;_366_;_MX 2.1_;_67654953_;_0_;_B_;_USD_;_CBT TNOTE 5YR_;_LIVE_;_IRD_;_LFUT_;_5spaces_;_BBBBHK IRDEXO CK_;_0_;_0_;_-2539.0625_;_-2539.0625_;_-6836.33678_;_-0.39928_;_0_;_0_;_-6835.9375_;_-6835.9375_;_0_;_0_;_-61.5_;_-0.003049_;_0_;_0_;_4296.875_;_0_;_4296.875_;_0_;_0_;_USD_;_CBT     19031_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_3spaces_;_3spaces_;_0_;_0_;_CBT TNOTE 5YR_;_11spaces_;_ 
67654953_;_366_;_MX 3.1_;_67654953_;_0_;_B_;_USD_;_CBT TNOTE 5YR_;_LIVE_;_IRD_;_LFUT_;_5spaces_;_BBBBHK IRDEXO CK_;_0_;_0_;_-2539.0625_;_-2539.0625_;_-6836.33678_;_-0.39928_;_0_;_0_;_-6835.9375_;_-6835.9375_;_0_;_0_;_-61.5_;_-0.003049_;_0_;_0_;_4296.875_;_0_;_4296.875_;_0_;_0_;_USD_;_CBT     19031_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_USD_;_3spaces_;_4296.88_;_0_;_CBT TNOTE 5YR_;_11spaces_;_ 
66257261_;_328_;_MX 2.1_;_66257261_;_0_;_B_;_HKD_;_HKD HIBOR 3M_;_LIVE_;_IRD_;_IRS_;_5spaces_;_BBBBHK IRD JT_;_0_;_0_;_5017.30717_;_5017.30717_;_-146857.2103_;_-15.210345_;_0_;_0_;_-146842_;_-146842_;_0_;_0_;_0_;_0_;_151858.0812_;_151858.0812_;_0_;_0_;_0_;_0_;_-1.225996_;_HKD_;_30spaces_;_151858.0812_;_0_;_151859.3072_;_0_;_151859.3072_;_151859.3072_;_0_;_0_;_0_;_0_;_19417.81_;_-2929.29_;_19417.81_;_-2929.29_;_HKD_;_HKD_;_314618.04_;_-162759.95_;_20spaces_;_11spaces_;_ 
66257261_;_328_;_MX 3.1_;_66257261_;_0_;_B_;_HKD_;_HKD HIBOR 3M_;_LIVE_;_IRD_;_IRS_;_5spaces_;_BBBBHK IRD JT_;_0_;_0_;_5011.815244_;_5011.815244_;_-146857.2103_;_-15.210345_;_0_;_0_;_-146842_;_-146842_;_0_;_0_;_0_;_0_;_151852.5893_;_0_;_0_;_0_;_0_;_0_;_-1.225952_;_HKD_;_30spaces_;_151852.5893_;_0_;_151853.8152_;_0_;_151853.8152_;_0_;_0_;_0_;_0_;_0_;_19417.81_;_-2929.29_;_19417.81_;_-2929.29_;_HKD_;_HKD_;_314617.73_;_-162765.14_;_20spaces_;_11spaces_;_ 
44411714_;_383_;_MX 2.1_;_44411714_;_0_;_B_;_IN1_;_IN1 MIFOR 6M_;_LIVE_;_IRD_;_IRS_;_5spaces_;_MB IRDTRD MIFOR_;_0_;_0_;_-7578238.194_;_-7578238.194_;_0_;_-2835384.232_;_0_;_-30036891.08_;_-27201506.85_;_0_;_0_;_-27201506.85_;_0_;_0_;_-7574686.047_;_-7574686.047_;_0_;_0_;_0_;_0_;_3552.147176_;_IN1_;_30spaces_;_-7574686.047_;_0_;_-7578238.194_;_0_;_-7578238.194_;_-7578238.194_;_0_;_0_;_-27201506.85_;_-27201506.85_;_11447260.27_;_-16366438.36_;_11447260.27_;_-16366438.36_;_IN1_;_IN1_;_71694589.06_;_-79269275.1_;_20spaces_;_11spaces_;_ 
44411714_;_383_;_MX 3.1_;_44411714_;_0_;_B_;_IN1_;_IN1 MIFOR 6M_;_LIVE_;_IRD_;_IRS_;_5spaces_;_MB IRDTRD MIFOR_;_0_;_0_;_-7569739.448_;_-7569739.448_;_0_;_-2835384.232_;_0_;_-30036891.08_;_-27201506.85_;_0_;_0_;_-27201506.85_;_0_;_0_;_-7566191.285_;_0_;_0_;_0_;_0_;_0_;_3548.163559_;_IN1_;_30spaces_;_-7566191.285_;_0_;_-7569739.448_;_0_;_-7569739.448_;_0_;_0_;_0_;_-27201506.85_;_-27201506.85_;_11447260.27_;_-16366438.36_;_11447260.27_;_-16366438.36_;_IN1_;_IN1_;_71694982.97_;_-79261174.25_;_20spaces_;_11spaces_;_ 
35513632_;_319_;_MX 2.1_;_35513632_;_0_;_S_;_HKD_;_USD BSHKD 3M_;_LIVE_;_IRD_;_CS_;_5spaces_;_BBBBHK FITRA_;_0_;_0_;_43976.98431_;_43976.98431_;_-3166.317176_;_-488333.4661_;_0_;_878351.2817_;_1363518.431_;_490488.4412_;_0_;_873029.9894_;_0_;_0_;_-446467.506_;_-446467.506_;_0_;_0_;_0_;_0_;_43.950891_;_HKD_;_30spaces_;_-446467.506_;_0_;_-446511.4569_;_0_;_-446511.4569_;_-446511.4569_;_0_;_0_;_873029.9894_;_873029.9894_;_-16077.88_;_2353.5_;_-16077.88_;_2353.5_;_HKD_;_USD_;_-116809724.2_;_15002803.61_;_20spaces_;_11spaces_;_ 
35513632_;_319_;_MX 3.1_;_35513632_;_0_;_S_;_HKD_;_USD BSHKD 3M_;_LIVE_;_IRD_;_CS_;_5spaces_;_BBBBHK FITRA_;_0_;_0_;_43908.66857_;_43908.66857_;_-3166.317176_;_-488333.4661_;_0_;_878351.2817_;_1363518.431_;_490488.4412_;_0_;_873029.9894_;_0_;_0_;_-446535.815_;_0_;_0_;_0_;_0_;_0_;_43.957615_;_HKD_;_30spaces_;_-446535.815_;_0_;_-446579.7726_;_0_;_-446579.7726_;_0_;_0_;_0_;_873029.9894_;_873029.9894_;_-16077.88_;_2353.5_;_-16077.88_;_2353.5_;_HKD_;_USD_;_-116809792.5_;_15002803.61_;_20spaces_;_11spaces_;_ 
62844726_;_342_;_MX 2.1_;_62844726_;_0_;_B_;_USD_;_USD CRSCNH 3M_;_LIVE_;_IRD_;_CS_;_5spaces_;_BBBBHK IRD DY_;_0_;_0_;_-485982.6235_;_-485982.6235_;_-597320.0512_;_-509871.9299_;_0_;_329438.9657_;_241990.8444_;_-86215.09069_;_0_;_328205.9351_;_0_;_0_;_-399759.0656_;_-399759.0656_;_0_;_0_;_0_;_0_;_8.467164_;_USD_;_30spaces_;_-399759.0656_;_0_;_-399767.5328_;_0_;_-399767.5328_;_-399767.5328_;_0_;_0_;_328205.9351_;_328205.9351_;_12694.12_;_-283.44_;_12694.12_;_-283.44_;_CNH_;_USD_;_246028580.7_;_-40001247.19_;_20spaces_;_11spaces_;_ 
62844726_;_342_;_MX 3.1_;_62844726_;_0_;_B_;_USD_;_USD CRSCNH 3M_;_MKT_OP_;_IRD_;_CS_;_5spaces_;_BBBBHK IRD DY_;_0_;_0_;_-485982.6235_;_-485982.6235_;_-597320.0512_;_-509871.9299_;_0_;_329438.9657_;_241990.8444_;_-86215.09069_;_0_;_328205.9351_;_0_;_0_;_-399759.0656_;_0_;_0_;_0_;_0_;_0_;_8.467164_;_USD_;_30spaces_;_-399759.0656_;_0_;_-399767.5328_;_0_;_-399767.5328_;_0_;_0_;_0_;_328205.9351_;_328205.9351_;_12694.12_;_-283.44_;_12694.12_;_-283.44_;_CNH_;_USD_;_246028580.7_;_-40001247.19_;_20spaces_;_11spaces_;_ 
66267573_;_347_;_MX 2.1_;_66267573_;_0_;_B_;_USD_;_SGX EURO USD_;_LIVE_;_IRD_;_SFUT_;_5spaces_;_BBBBHK FITRA_;_0_;_0_;_-11875_;_-11875_;_-13126.02617_;_-1.026174_;_0_;_0_;_-13125_;_-13125_;_0_;_0_;_-200_;_-0.049173_;_0_;_0_;_1250_;_0_;_1250_;_0_;_0_;_USD_;_SGX     15938_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_3spaces_;_3spaces_;_0_;_0_;_SGX EURO USD_;_11spaces_;_ 
66267573_;_347_;_MX 3.1_;_66267573_;_0_;_B_;_USD_;_SGX EURO USD_;_LIVE_;_IRD_;_SFUT_;_5spaces_;_BBBBHK FITRA_;_0_;_0_;_-11875_;_-11875_;_-13126.02617_;_-1.026174_;_0_;_0_;_-13125_;_-13125_;_0_;_0_;_-200_;_-0.049173_;_0_;_0_;_1250_;_0_;_1250_;_0_;_0_;_USD_;_SGX     15938_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_USD_;_3spaces_;_1250_;_0_;_SGX EURO USD_;_11spaces_;_ 
67084585_;_387_;_MX 2.1_;_67084585_;_0_;_B_;_IN1_;_IN1 MIFOR 6M_;_LIVE_;_IRD_;_IRS_;_5spaces_;_MB IRDTRD MIFOR_;_0_;_0_;_6908125.248_;_6908125.248_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_6904887.203_;_6904887.203_;_0_;_0_;_0_;_0_;_-3238.045171_;_IN1_;_30spaces_;_6904887.203_;_0_;_6908125.248_;_0_;_6908125.248_;_6908125.248_;_0_;_0_;_0_;_0_;_2806849.32_;_-3209589.04_;_2806849.32_;_-3209589.04_;_IN1_;_IN1_;_144545024.3_;_-137640137.1_;_20spaces_;_11spaces_;_ 
67084585_;_387_;_MX 3.1_;_67084585_;_0_;_B_;_IN1_;_IN1 MIFOR 6M_;_LIVE_;_IRD_;_IRS_;_5spaces_;_MB IRDTRD MIFOR_;_0_;_0_;_6916639.218_;_6916639.218_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_6913397.182_;_0_;_0_;_0_;_0_;_0_;_-3242.035924_;_IN1_;_30spaces_;_6913397.182_;_0_;_6916639.218_;_0_;_6916639.218_;_0_;_0_;_0_;_0_;_0_;_2806849.32_;_-3209589.04_;_2806849.32_;_-3209589.04_;_IN1_;_IN1_;_144546851.7_;_-137633454.5_;_20spaces_;_11spaces_;_ 
57645342_;_316_;_MX 2.1_;_57645342_;_0_;_B_;_HKD_;_HKD HIBOR 3M_;_LIVE_;_IRD_;_IRS_;_5spaces_;_BBBBHK FITRA_;_0_;_0_;_400684.1576_;_400684.1576_;_0_;_243.443593_;_0_;_982859.9236_;_982616.48_;_0_;_0_;_982616.48_;_0_;_0_;_400680.9227_;_400680.9227_;_0_;_0_;_0_;_0_;_-3.234818_;_HKD_;_30spaces_;_400680.9227_;_0_;_400684.1576_;_0_;_400684.1576_;_400684.1576_;_0_;_0_;_982616.48_;_982616.48_;_181440_;_-129598.56_;_181440_;_-129598.56_;_HKD_;_HKD_;_3146171.52_;_-2745490.59_;_20spaces_;_11spaces_;_ 
57645342_;_316_;_MX 3.1_;_57645342_;_0_;_B_;_HKD_;_HKD HIBOR 3M_;_LIVE_;_IRD_;_IRS_;_5spaces_;_BBBBHK FITRA_;_0_;_0_;_398667.8312_;_398667.8312_;_0_;_243.443593_;_0_;_982859.9236_;_982616.48_;_0_;_0_;_982616.48_;_0_;_0_;_398664.6126_;_0_;_0_;_0_;_0_;_0_;_-3.21854_;_HKD_;_30spaces_;_398664.6126_;_0_;_398667.8312_;_0_;_398667.8312_;_0_;_0_;_0_;_982616.48_;_982616.48_;_181440_;_-129598.56_;_181440_;_-129598.56_;_HKD_;_HKD_;_3146166.81_;_-2747502.2_;_20spaces_;_11spaces_;_ 
55505058_;_374_;_MX 2.1_;_55505058_;_0_;_B_;_ID1_;_JPY CRSID1 3M_;_LIVE_;_IRD_;_CS_;_5spaces_;_PTBBBB IRD TRAD_;_0_;_0_;_3197290735_;_3197290735_;_-30046672574_;_-11959599962_;_0_;_19693405994_;_1606333383_;_-17420939680_;_0_;_19027273063_;_0_;_0_;_20598864274_;_20598864274_;_0_;_0_;_0_;_0_;_-19366141.41_;_ID1_;_30spaces_;_20598864274_;_0_;_20618230415_;_0_;_20618230415_;_20618230415_;_0_;_0_;_19027273063_;_19027273063_;_875694444.4_;_-356461.61_;_875694444.4_;_-356461.61_;_ID1_;_JPY_;_1.66366E+11_;_-1401468584_;_20spaces_;_11spaces_;_ 
55505058_;_374_;_MX 3.1_;_55505058_;_0_;_B_;_ID1_;_JPY CRSID1 3M_;_LIVE_;_IRD_;_CS_;_5spaces_;_PTBBBB IRD TRAD_;_0_;_0_;_3197290735_;_3197290735_;_-30046672574_;_-11959599962_;_0_;_19693405994_;_1606333383_;_-17420939680_;_0_;_19027273063_;_0_;_0_;_20598864274_;_0_;_0_;_0_;_0_;_0_;_-19366141.41_;_ID1_;_30spaces_;_20598864274_;_0_;_20618230415_;_0_;_20618230415_;_0_;_0_;_0_;_19027273063_;_19027273063_;_875694444.4_;_-356461.61_;_875694444.4_;_-356461.61_;_ID1_;_JPY_;_1.66366E+11_;_-1401468584_;_20spaces_;_11spaces_;_ 
43012170_;_381_;_MX 2.1_;_43012170_;_0_;_B_;_IN1_;_IN1 MIFOR 6M_;_LIVE_;_IRD_;_IRS_;_5spaces_;_MB IRDTRD MIFOR_;_0_;_0_;_-4101101.199_;_-4101101.199_;_0_;_-258330.0573_;_0_;_-13322713.62_;_-13064383.56_;_0_;_0_;_-13064383.56_;_0_;_0_;_-4099178.89_;_-4099178.89_;_0_;_0_;_0_;_0_;_1922.308941_;_IN1_;_30spaces_;_-4099178.89_;_0_;_-4101101.199_;_0_;_-4101101.199_;_-4101101.199_;_0_;_0_;_-13064383.56_;_-13064383.56_;_3767123.29_;_-4996712.33_;_3767123.29_;_-4996712.33_;_IN1_;_IN1_;_57973227.41_;_-62072406.3_;_20spaces_;_11spaces_;_ 
43012170_;_381_;_MX 3.1_;_43012170_;_0_;_B_;_IN1_;_IN1 MIFOR 6M_;_LIVE_;_IRD_;_IRS_;_5spaces_;_MB IRDTRD MIFOR_;_0_;_0_;_-4094256.075_;_-4094256.075_;_0_;_-258330.0573_;_0_;_-13322713.62_;_-13064383.56_;_0_;_0_;_-13064383.56_;_0_;_0_;_-4092336.975_;_0_;_0_;_0_;_0_;_0_;_1919.100427_;_IN1_;_30spaces_;_-4092336.975_;_0_;_-4094256.075_;_0_;_-4094256.075_;_0_;_0_;_0_;_-13064383.56_;_-13064383.56_;_3767123.29_;_-4996712.33_;_3767123.29_;_-4996712.33_;_IN1_;_IN1_;_57973499.57_;_-62065836.55_;_20spaces_;_11spaces_;_ 
67112379_;_358_;_MX 2.1_;_67112379_;_0_;_S_;_USD_;_SGX EURO USD_;_MKT_OP_;_IRD_;_SFUT_;_5spaces_;_BBBBHK FITRA_;_68.75_;_68.75_;_3168.75_;_3168.75_;_3237.799112_;_0.299112_;_68.758394_;_0_;_3237.5_;_3237.5_;_68.75_;_0_;_-100_;_-0.013626_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_USD_;_SGX     15939_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_3spaces_;_3spaces_;_0_;_0_;_SGX EURO USD_;_11spaces_;_ 
67112379_;_358_;_MX 3.1_;_67112379_;_0_;_S_;_USD_;_SGX EURO USD_;_MKT_OP_;_IRD_;_SFUT_;_5spaces_;_BBBBHK FITRA_;_-68.75_;_-68.75_;_3168.75_;_3168.75_;_3100.283146_;_0.283146_;_-68.757572_;_0_;_3100_;_3100_;_-68.75_;_0_;_-100_;_-0.013626_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_USD_;_SGX     15939_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_USD_;_3spaces_;_0_;_0_;_SGX EURO USD_;_11spaces_;_ 
52928440_;_369_;_MX 2.1_;_52928440_;_0_;_B_;_ID1_;_USD CRSID1 6M_;_LIVE_;_IRD_;_CS_;_5spaces_;_PTBBBB IRD TRAD_;_0_;_0_;_-69117298.84_;_-69117298.84_;_17554641076_;_-8766275074_;_0_;_7902654602_;_34223570751_;_26625841960_;_0_;_7597728791_;_0_;_0_;_-26669885412_;_-26669885412_;_0_;_0_;_0_;_0_;_25073847.06_;_ID1_;_30spaces_;_-26669885412_;_0_;_-26694959259_;_0_;_-26694959259_;_-26694959259_;_0_;_0_;_7597728791_;_7597728791_;_571773333.3_;_-3469.61_;_571773333.3_;_-3469.61_;_ID1_;_USD_;_97629618702_;_-10005929.7_;_20spaces_;_11spaces_;_ 
52928440_;_369_;_MX 3.1_;_52928440_;_0_;_B_;_ID1_;_USD CRSID1 6M_;_LIVE_;_IRD_;_CS_;_5spaces_;_PTBBBB IRD TRAD_;_0_;_0_;_-69117298.84_;_-69117298.84_;_17554641076_;_-8766275074_;_0_;_7902654602_;_34223570751_;_26625841960_;_0_;_7597728791_;_0_;_0_;_-26669885412_;_0_;_0_;_0_;_0_;_0_;_25073847.06_;_ID1_;_30spaces_;_-26669885412_;_0_;_-26694959259_;_0_;_-26694959259_;_0_;_0_;_0_;_7597728791_;_7597728791_;_571773333.3_;_-3469.61_;_571773333.3_;_-3469.61_;_ID1_;_USD_;_97629618702_;_-10005929.7_;_20spaces_;_11spaces_;_ 
64179458_;_372_;_MX 2.1_;_64179458_;_0_;_B_;_ID1_;_USD CRSID1 3M_;_LIVE_;_IRD_;_CS_;_5spaces_;_PTBBBB IRD TRAD_;_0_;_0_;_155622588.8_;_155622588.8_;_803791032.8_;_-430515613.2_;_0_;_409963263_;_1644269909_;_1237640349_;_0_;_406629560.4_;_0_;_0_;_-1081001450_;_-1081001450_;_0_;_0_;_0_;_0_;_1016309.767_;_ID1_;_30spaces_;_-1081001450_;_0_;_-1082017760_;_0_;_-1082017760_;_-1082017760_;_0_;_0_;_406629560.4_;_406629560.4_;_211727037.3_;_-3665.51_;_211727037.3_;_-3665.51_;_ID1_;_USD_;_20162753463_;_-1710091.44_;_20spaces_;_11spaces_;_ 
64179458_;_372_;_MX 3.1_;_64179458_;_0_;_B_;_ID1_;_USD CRSID1 3M_;_LIVE_;_IRD_;_CS_;_5spaces_;_PTBBBB IRD TRAD_;_0_;_0_;_155622588.8_;_155622588.8_;_803791032.8_;_-430515613.2_;_0_;_409963263_;_1644269909_;_1237640349_;_0_;_406629560.4_;_0_;_0_;_-1081001450_;_0_;_0_;_0_;_0_;_0_;_1016309.767_;_ID1_;_30spaces_;_-1081001450_;_0_;_-1082017760_;_0_;_-1082017760_;_0_;_0_;_0_;_406629560.4_;_406629560.4_;_211727037.3_;_-3665.51_;_211727037.3_;_-3665.51_;_ID1_;_USD_;_20162753463_;_-1710091.44_;_20spaces_;_11spaces_;_ 
66254927_;_352_;_MX 2.1_;_66254927_;_0_;_B_;_USD_;_SGX EURO USD_;_LIVE_;_IRD_;_SFUT_;_5spaces_;_BBBBHK FITRA_;_0_;_0_;_-5937.5_;_-5937.5_;_-6562.993898_;_-0.493898_;_0_;_0_;_-6562.5_;_-6562.5_;_0_;_0_;_-100_;_-0.025059_;_0_;_0_;_625_;_0_;_625_;_0_;_0_;_USD_;_SGX     15938_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_3spaces_;_3spaces_;_0_;_0_;_SGX EURO USD_;_11spaces_;_ 
66254927_;_352_;_MX 3.1_;_66254927_;_0_;_B_;_USD_;_SGX EURO USD_;_LIVE_;_IRD_;_SFUT_;_5spaces_;_BBBBHK FITRA_;_0_;_0_;_-5937.5_;_-5937.5_;_-6562.993898_;_-0.493898_;_0_;_0_;_-6562.5_;_-6562.5_;_0_;_0_;_-100_;_-0.025059_;_0_;_0_;_625_;_0_;_625_;_0_;_0_;_USD_;_SGX     15938_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_USD_;_3spaces_;_625_;_0_;_SGX EURO USD_;_11spaces_;_ 
66276419_;_348_;_MX 2.1_;_66276419_;_0_;_B_;_USD_;_SGX EURO USD_;_LIVE_;_IRD_;_SFUT_;_5spaces_;_BBBBHK FITRA_;_0_;_0_;_-10625_;_-10625_;_-11875.72475_;_-0.72475_;_0_;_0_;_-11875_;_-11875_;_0_;_0_;_-200_;_-0.049173_;_0_;_0_;_1250_;_0_;_1250_;_0_;_0_;_USD_;_SGX     15938_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_3spaces_;_3spaces_;_0_;_0_;_SGX EURO USD_;_11spaces_;_ 
66276419_;_348_;_MX 3.1_;_66276419_;_0_;_B_;_USD_;_SGX EURO USD_;_LIVE_;_IRD_;_SFUT_;_5spaces_;_BBBBHK FITRA_;_0_;_0_;_-10625_;_-10625_;_-11875.72475_;_-0.72475_;_0_;_0_;_-11875_;_-11875_;_0_;_0_;_-200_;_-0.049173_;_0_;_0_;_1250_;_0_;_1250_;_0_;_0_;_USD_;_SGX     15938_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_0_;_USD_;_3spaces_;_1250_;_0_;_SGX EURO USD_;_11spaces_;_ 
